pollen,location,from,to,value
Poaceae,DEVIEC,2018-05-31 15:00:00,2018-05-31 16:00:00,52.40252521
Pinus,DEBIED,2018-05-31 18:00:00,2018-05-31 19:00:00,9.563316289
Pinus,DEVIEC,2018-05-31 18:00:00,2018-05-31 19:00:00,4.768301558
Poaceae,DEBIED,2018-05-31 18:00:00,2018-05-31 19:00:00,52.59823959
Poaceae,DEVIEC,2018-05-31 18:00:00,2018-05-31 19:00:00,4.768301558
Pinus,DEBIED,2018-05-31 21:00:00,2018-05-31 22:00:00,4.732681592
Pinus,DEVIEC,2018-05-31 21:00:00,2018-05-31 22:00:00,4.759438544
Poaceae,DEBIED,2018-05-31 21:00:00,2018-05-31 22:00:00,0.0
Poaceae,DEVIEC,2018-05-31 21:00:00,2018-05-31 22:00:00,0.0
Pinus,DEBIED,2018-06-01 00:00:00,2018-06-01 01:00:00,0.0
Pinus,DEVIEC,2018-06-01 00:00:00,2018-06-01 01:00:00,9.527731857
Poaceae,DEBIED,2018-06-01 00:00:00,2018-06-01 01:00:00,0.0
Poaceae,DEVIEC,2018-06-01 00:00:00,2018-06-01 01:00:00,0.0
Pinus,DEBIED,2018-06-01 03:00:00,2018-06-01 04:00:00,0.0
Pinus,DEVIEC,2018-06-01 03:00:00,2018-06-01 04:00:00,4.763865928
Poaceae,DEBIED,2018-06-01 03:00:00,2018-06-01 04:00:00,70.99022388
Poaceae,DEVIEC,2018-06-01 03:00:00,2018-06-01 04:00:00,85.74958671
Pinus,DEBIED,2018-06-01 06:00:00,2018-06-01 07:00:00,4.77775475
Pinus,DEVIEC,2018-06-01 06:00:00,2018-06-01 07:00:00,9.536603115
Poaceae,DEBIED,2018-06-01 06:00:00,2018-06-01 07:00:00,23.88877375
Poaceae,DEVIEC,2018-06-01 06:00:00,2018-06-01 07:00:00,57.21961869
Pinus,DEBIED,2018-06-01 09:00:00,2018-06-01 10:00:00,0.0
Pinus,DEVIEC,2018-06-01 09:00:00,2018-06-01 10:00:00,14.29159779
Poaceae,DEBIED,2018-06-01 09:00:00,2018-06-01 10:00:00,65.0836803
Poaceae,DEVIEC,2018-06-01 09:00:00,2018-06-01 10:00:00,33.3470615
Pinus,DEBIED,2018-06-01 12:00:00,2018-06-01 13:00:00,9.555509501
Pinus,DEVIEC,2018-06-01 12:00:00,2018-06-01 13:00:00,4.768301558
Poaceae,DEBIED,2018-06-01 12:00:00,2018-06-01 13:00:00,124.2216235
Poaceae,DEVIEC,2018-06-01 12:00:00,2018-06-01 13:00:00,4.768301558
Pinus,DEBIED,2018-06-01 15:00:00,2018-06-01 16:00:00,4.769967049
Pinus,DEVIEC,2018-06-01 15:00:00,2018-06-01 16:00:00,19.05546371
Poaceae,DEBIED,2018-06-01 15:00:00,2018-06-01 16:00:00,81.08943983
Poaceae,DEVIEC,2018-06-01 15:00:00,2018-06-01 16:00:00,28.58319557
Pinus,DEBIED,2018-06-01 18:00:00,2018-06-01 19:00:00,0.0
Pinus,DEVIEC,2018-06-01 18:00:00,2018-06-01 19:00:00,4.763865928
Poaceae,DEBIED,2018-06-01 18:00:00,2018-06-01 19:00:00,47.81658145
Poaceae,DEVIEC,2018-06-01 18:00:00,2018-06-01 19:00:00,38.11092743
Pinus,DEBIED,2018-06-01 21:00:00,2018-06-01 22:00:00,9.563316289
Pinus,DEVIEC,2018-06-01 21:00:00,2018-06-01 22:00:00,4.763865928
Poaceae,DEBIED,2018-06-01 21:00:00,2018-06-01 22:00:00,62.16155588
Poaceae,DEVIEC,2018-06-01 21:00:00,2018-06-01 22:00:00,14.29159779
Pinus,DEBIED,2018-06-02 00:00:00,2018-06-02 01:00:00,4.736548162
Pinus,DEVIEC,2018-06-02 00:00:00,2018-06-02 01:00:00,9.518877087
Poaceae,DEBIED,2018-06-02 00:00:00,2018-06-02 01:00:00,42.62893346
Poaceae,DEVIEC,2018-06-02 00:00:00,2018-06-02 01:00:00,9.518877087
Pinus,DEBIED,2018-06-02 03:00:00,2018-06-02 04:00:00,0.0
Pinus,DEVIEC,2018-06-02 03:00:00,2018-06-02 04:00:00,0.0
Poaceae,DEBIED,2018-06-02 03:00:00,2018-06-02 04:00:00,9.563316289
Poaceae,DEVIEC,2018-06-02 03:00:00,2018-06-02 04:00:00,4.768301558
Pinus,DEBIED,2018-06-02 06:00:00,2018-06-02 07:00:00,0.0
Pinus,DEVIEC,2018-06-02 06:00:00,2018-06-02 07:00:00,14.29159779
Poaceae,DEBIED,2018-06-02 06:00:00,2018-06-02 07:00:00,23.88877375
Poaceae,DEVIEC,2018-06-02 06:00:00,2018-06-02 07:00:00,47.63865928
Pinus,DEBIED,2018-06-02 09:00:00,2018-06-02 10:00:00,18.59533723
Pinus,DEVIEC,2018-06-02 09:00:00,2018-06-02 10:00:00,4.759438544
Poaceae,DEBIED,2018-06-02 09:00:00,2018-06-02 10:00:00,55.78601169
Poaceae,DEVIEC,2018-06-02 09:00:00,2018-06-02 10:00:00,180.8586647
Pinus,DEBIED,2018-06-02 12:00:00,2018-06-02 13:00:00,0.0
Pinus,DEVIEC,2018-06-02 12:00:00,2018-06-02 13:00:00,19.05546371
Poaceae,DEBIED,2018-06-02 12:00:00,2018-06-02 13:00:00,95.47715447
Poaceae,DEVIEC,2018-06-02 12:00:00,2018-06-02 13:00:00,52.40252521
Pinus,DEBIED,2018-06-02 15:00:00,2018-06-02 16:00:00,9.563316289
Pinus,DEVIEC,2018-06-02 15:00:00,2018-06-02 16:00:00,0.0
Poaceae,DEBIED,2018-06-02 15:00:00,2018-06-02 16:00:00,86.0698466
Poaceae,DEVIEC,2018-06-02 15:00:00,2018-06-02 16:00:00,66.694123
Pinus,DEBIED,2018-06-02 18:00:00,2018-06-02 19:00:00,0.0
Pinus,DEVIEC,2018-06-02 18:00:00,2018-06-02 19:00:00,14.29159779
Poaceae,DEBIED,2018-06-02 18:00:00,2018-06-02 19:00:00,47.7775475
Poaceae,DEVIEC,2018-06-02 18:00:00,2018-06-02 19:00:00,23.81932964
Pinus,DEBIED,2018-06-02 21:00:00,2018-06-02 22:00:00,4.77775475
Pinus,DEVIEC,2018-06-02 21:00:00,2018-06-02 22:00:00,0.0
Poaceae,DEBIED,2018-06-02 21:00:00,2018-06-02 22:00:00,9.555509501
Poaceae,DEVIEC,2018-06-02 21:00:00,2018-06-02 22:00:00,0.0
Pinus,DEBIED,2018-06-03 00:00:00,2018-06-03 01:00:00,0.0
Pinus,DEVIEC,2018-06-03 00:00:00,2018-06-03 01:00:00,4.772745455
Poaceae,DEBIED,2018-06-03 00:00:00,2018-06-03 01:00:00,19.111019
Poaceae,DEVIEC,2018-06-03 00:00:00,2018-06-03 01:00:00,0.0
Pinus,DEBIED,2018-06-03 03:00:00,2018-06-03 04:00:00,4.736548162
Pinus,DEVIEC,2018-06-03 03:00:00,2018-06-03 04:00:00,4.763865928
Poaceae,DEBIED,2018-06-03 03:00:00,2018-06-03 04:00:00,33.15583714
Poaceae,DEVIEC,2018-06-03 03:00:00,2018-06-03 04:00:00,14.29159779
Pinus,DEBIED,2018-06-03 06:00:00,2018-06-03 07:00:00,0.0
Pinus,DEVIEC,2018-06-03 06:00:00,2018-06-03 07:00:00,0.0
Poaceae,DEBIED,2018-06-03 06:00:00,2018-06-03 07:00:00,47.7775475
Poaceae,DEVIEC,2018-06-03 06:00:00,2018-06-03 07:00:00,19.05546371
Pinus,DEBIED,2018-06-03 09:00:00,2018-06-03 10:00:00,0.0
Pinus,DEVIEC,2018-06-03 09:00:00,2018-06-03 10:00:00,4.759438544
Poaceae,DEBIED,2018-06-03 09:00:00,2018-06-03 10:00:00,195.0916523
Poaceae,DEVIEC,2018-06-03 09:00:00,2018-06-03 10:00:00,95.18877087
Pinus,DEBIED,2018-06-03 12:00:00,2018-06-03 13:00:00,0.0
Pinus,DEVIEC,2018-06-03 12:00:00,2018-06-03 13:00:00,9.527731857
Poaceae,DEBIED,2018-06-03 12:00:00,2018-06-03 13:00:00,100.414821
Poaceae,DEVIEC,2018-06-03 12:00:00,2018-06-03 13:00:00,9.527731857
Pinus,DEBIED,2018-06-03 15:00:00,2018-06-03 16:00:00,9.555509501
Pinus,DEVIEC,2018-06-03 15:00:00,2018-06-03 16:00:00,0.0
Poaceae,DEBIED,2018-06-03 15:00:00,2018-06-03 16:00:00,52.55530225
Poaceae,DEVIEC,2018-06-03 15:00:00,2018-06-03 16:00:00,52.45131713
Pinus,DEBIED,2018-06-03 18:00:00,2018-06-03 19:00:00,0.0
Pinus,DEVIEC,2018-06-03 18:00:00,2018-06-03 19:00:00,19.03775417
Poaceae,DEBIED,2018-06-03 18:00:00,2018-06-03 19:00:00,52.55530225
Poaceae,DEVIEC,2018-06-03 18:00:00,2018-06-03 19:00:00,71.39157816
Pinus,DEBIED,2018-06-03 21:00:00,2018-06-03 22:00:00,0.0
Pinus,DEVIEC,2018-06-03 21:00:00,2018-06-03 22:00:00,0.0
Poaceae,DEBIED,2018-06-03 21:00:00,2018-06-03 22:00:00,23.88877375
Poaceae,DEVIEC,2018-06-03 21:00:00,2018-06-03 22:00:00,14.30490467
Pinus,DEBIED,2018-06-04 00:00:00,2018-06-04 01:00:00,0.0
Pinus,DEVIEC,2018-06-04 00:00:00,2018-06-04 01:00:00,9.54549091
Poaceae,DEBIED,2018-06-04 00:00:00,2018-06-04 01:00:00,19.111019
Poaceae,DEVIEC,2018-06-04 00:00:00,2018-06-04 01:00:00,9.54549091
Pinus,DEBIED,2018-06-04 03:00:00,2018-06-04 04:00:00,0.0
Pinus,DEVIEC,2018-06-04 03:00:00,2018-06-04 04:00:00,0.0
Poaceae,DEBIED,2018-06-04 03:00:00,2018-06-04 04:00:00,38.25326516
Poaceae,DEVIEC,2018-06-04 03:00:00,2018-06-04 04:00:00,19.03775417
Pinus,DEBIED,2018-06-04 06:00:00,2018-06-04 07:00:00,4.8236947
Pinus,DEVIEC,2018-06-04 06:00:00,2018-06-04 07:00:00,9.527731857
Poaceae,DEBIED,2018-06-04 06:00:00,2018-06-04 07:00:00,62.7080311
Poaceae,DEVIEC,2018-06-04 06:00:00,2018-06-04 07:00:00,42.87479336
Pinus,DEBIED,2018-06-04 09:00:00,2018-06-04 10:00:00,18.59533723
Pinus,DEVIEC,2018-06-04 09:00:00,2018-06-04 10:00:00,4.763865928
Poaceae,DEBIED,2018-06-04 09:00:00,2018-06-04 10:00:00,111.5720234
Poaceae,DEVIEC,2018-06-04 09:00:00,2018-06-04 10:00:00,109.5689164
Pinus,DEBIED,2018-06-04 12:00:00,2018-06-04 13:00:00,9.555509501
Pinus,DEVIEC,2018-06-04 12:00:00,2018-06-04 13:00:00,14.30490467
Poaceae,DEBIED,2018-06-04 12:00:00,2018-06-04 13:00:00,167.2214163
Poaceae,DEVIEC,2018-06-04 12:00:00,2018-06-04 13:00:00,42.91471402
Pinus,DEBIED,2018-06-04 15:00:00,2018-06-04 16:00:00,4.781658145
Pinus,DEVIEC,2018-06-04 15:00:00,2018-06-04 16:00:00,0.0
Poaceae,DEBIED,2018-06-04 15:00:00,2018-06-04 16:00:00,133.8864281
Poaceae,DEVIEC,2018-06-04 15:00:00,2018-06-04 16:00:00,67.19207356
Pinus,DEBIED,2018-06-04 18:00:00,2018-06-04 19:00:00,4.77775475
Pinus,DEVIEC,2018-06-04 18:00:00,2018-06-04 19:00:00,4.763865928
Poaceae,DEBIED,2018-06-04 18:00:00,2018-06-04 19:00:00,33.44428325
Poaceae,DEVIEC,2018-06-04 18:00:00,2018-06-04 19:00:00,38.11092743
Pinus,DEBIED,2018-06-04 21:00:00,2018-06-04 22:00:00,9.547715447
Pinus,DEVIEC,2018-06-04 21:00:00,2018-06-04 22:00:00,0.0
Poaceae,DEBIED,2018-06-04 21:00:00,2018-06-04 22:00:00,9.547715447
Poaceae,DEVIEC,2018-06-04 21:00:00,2018-06-04 22:00:00,14.29159779
Pinus,DEBIED,2018-06-05 00:00:00,2018-06-05 01:00:00,0.0
Pinus,DEVIEC,2018-06-05 00:00:00,2018-06-05 01:00:00,0.0
Poaceae,DEBIED,2018-06-05 00:00:00,2018-06-05 01:00:00,28.6665285
Poaceae,DEVIEC,2018-06-05 00:00:00,2018-06-05 01:00:00,0.0
Pinus,DEBIED,2018-06-05 03:00:00,2018-06-05 04:00:00,0.0
Pinus,DEVIEC,2018-06-05 03:00:00,2018-06-05 04:00:00,4.808371319
Poaceae,DEBIED,2018-06-05 03:00:00,2018-06-05 04:00:00,28.61980229
Poaceae,DEVIEC,2018-06-05 03:00:00,2018-06-05 04:00:00,9.616742637
Pinus,DEBIED,2018-06-05 06:00:00,2018-06-05 07:00:00,0.0
Pinus,DEVIEC,2018-06-05 06:00:00,2018-06-05 07:00:00,14.29159779
Poaceae,DEBIED,2018-06-05 06:00:00,2018-06-05 07:00:00,52.59823959
Poaceae,DEVIEC,2018-06-05 06:00:00,2018-06-05 07:00:00,14.29159779
Pinus,DEBIED,2018-06-05 09:00:00,2018-06-05 10:00:00,4.641250565
Pinus,DEVIEC,2018-06-05 09:00:00,2018-06-05 10:00:00,14.29159779
Poaceae,DEBIED,2018-06-05 09:00:00,2018-06-05 10:00:00,60.33625734
Poaceae,DEVIEC,2018-06-05 09:00:00,2018-06-05 10:00:00,33.3470615
Pinus,DEBIED,2018-06-05 12:00:00,2018-06-05 13:00:00,0.0
Pinus,DEVIEC,2018-06-05 12:00:00,2018-06-05 13:00:00,4.763865928
Poaceae,DEBIED,2018-06-05 12:00:00,2018-06-05 13:00:00,28.64314634
Poaceae,DEVIEC,2018-06-05 12:00:00,2018-06-05 13:00:00,33.3470615
Pinus,DEBIED,2018-06-05 15:00:00,2018-06-05 16:00:00,4.781658145
Pinus,DEVIEC,2018-06-05 15:00:00,2018-06-05 16:00:00,4.759438544
Poaceae,DEBIED,2018-06-05 15:00:00,2018-06-05 16:00:00,43.0349233
Poaceae,DEVIEC,2018-06-05 15:00:00,2018-06-05 16:00:00,57.11326252
Pinus,DEBIED,2018-06-05 18:00:00,2018-06-05 19:00:00,0.0
Pinus,DEVIEC,2018-06-05 18:00:00,2018-06-05 19:00:00,14.29159779
Poaceae,DEBIED,2018-06-05 18:00:00,2018-06-05 19:00:00,57.23960459
Poaceae,DEVIEC,2018-06-05 18:00:00,2018-06-05 19:00:00,47.63865928
Pinus,DEBIED,2018-06-05 21:00:00,2018-06-05 22:00:00,0.0
Pinus,DEVIEC,2018-06-05 21:00:00,2018-06-05 22:00:00,4.763865928
Poaceae,DEBIED,2018-06-05 21:00:00,2018-06-05 22:00:00,38.25326516
Poaceae,DEVIEC,2018-06-05 21:00:00,2018-06-05 22:00:00,9.527731857
Pinus,DEBIED,2018-06-06 00:00:00,2018-06-06 01:00:00,4.773857724
Pinus,DEVIEC,2018-06-06 00:00:00,2018-06-06 01:00:00,4.763865928
Poaceae,DEBIED,2018-06-06 00:00:00,2018-06-06 01:00:00,28.64314634
Poaceae,DEVIEC,2018-06-06 00:00:00,2018-06-06 01:00:00,9.527731857
Pinus,DEBIED,2018-06-06 03:00:00,2018-06-06 04:00:00,9.473096324
Pinus,DEVIEC,2018-06-06 03:00:00,2018-06-06 04:00:00,4.759438544
Poaceae,DEBIED,2018-06-06 03:00:00,2018-06-06 04:00:00,42.62893346
Poaceae,DEVIEC,2018-06-06 03:00:00,2018-06-06 04:00:00,23.79719272
Pinus,DEBIED,2018-06-06 06:00:00,2018-06-06 07:00:00,9.563316289
Pinus,DEVIEC,2018-06-06 06:00:00,2018-06-06 07:00:00,4.768301558
Poaceae,DEBIED,2018-06-06 06:00:00,2018-06-06 07:00:00,76.50653032
Poaceae,DEVIEC,2018-06-06 06:00:00,2018-06-06 07:00:00,9.536603115
Pinus,DEVIEC,2018-06-06 09:00:00,2018-06-06 10:00:00,4.759438544
Poaceae,DEVIEC,2018-06-06 09:00:00,2018-06-06 10:00:00,47.59438544
Pinus,DEVIEC,2018-06-06 12:00:00,2018-06-06 13:00:00,0.0
Poaceae,DEVIEC,2018-06-06 12:00:00,2018-06-06 13:00:00,23.81932964
Pinus,DEBIED,2018-06-06 15:00:00,2018-06-06 16:00:00,14.70211737
Pinus,DEVIEC,2018-06-06 15:00:00,2018-06-06 16:00:00,9.536603115
Poaceae,DEBIED,2018-06-06 15:00:00,2018-06-06 16:00:00,117.616939
Poaceae,DEVIEC,2018-06-06 15:00:00,2018-06-06 16:00:00,28.60980935
Pinus,DEVIEC,2018-06-06 18:00:00,2018-06-06 19:00:00,0.0
Poaceae,DEVIEC,2018-06-06 18:00:00,2018-06-06 19:00:00,23.86372727
Pinus,DEBIED,2018-06-06 21:00:00,2018-06-06 22:00:00,0.0
Pinus,DEVIEC,2018-06-06 21:00:00,2018-06-06 22:00:00,0.0
Poaceae,DEBIED,2018-06-06 21:00:00,2018-06-06 22:00:00,0.0
Poaceae,DEVIEC,2018-06-06 21:00:00,2018-06-06 22:00:00,4.768301558
Pinus,DEVIEC,2018-06-07 00:00:00,2018-06-07 01:00:00,4.763865928
Poaceae,DEVIEC,2018-06-07 00:00:00,2018-06-07 01:00:00,14.29159779
Pinus,DEBIED,2018-06-07 03:00:00,2018-06-07 04:00:00,0.0
Pinus,DEVIEC,2018-06-07 03:00:00,2018-06-07 04:00:00,0.0
Poaceae,DEBIED,2018-06-07 03:00:00,2018-06-07 04:00:00,0.0
Poaceae,DEVIEC,2018-06-07 03:00:00,2018-06-07 04:00:00,0.0
Pinus,DEBIED,2018-06-07 06:00:00,2018-06-07 07:00:00,0.0
Pinus,DEVIEC,2018-06-07 06:00:00,2018-06-07 07:00:00,0.0
Poaceae,DEBIED,2018-06-07 06:00:00,2018-06-07 07:00:00,14.28130196
Poaceae,DEVIEC,2018-06-07 06:00:00,2018-06-07 07:00:00,4.759438544
Pinus,DEBIED,2018-06-07 09:00:00,2018-06-07 10:00:00,4.72882133
Pinus,DEVIEC,2018-06-07 09:00:00,2018-06-07 10:00:00,0.0
Poaceae,DEBIED,2018-06-07 09:00:00,2018-06-07 10:00:00,47.2882133
Poaceae,DEVIEC,2018-06-07 09:00:00,2018-06-07 10:00:00,14.29159779
Pinus,DEBIED,2018-06-07 12:00:00,2018-06-07 13:00:00,0.0
Pinus,DEVIEC,2018-06-07 12:00:00,2018-06-07 13:00:00,9.527731857
Poaceae,DEBIED,2018-06-07 12:00:00,2018-06-07 13:00:00,47.1927065
Poaceae,DEVIEC,2018-06-07 12:00:00,2018-06-07 13:00:00,9.527731857
Pinus,DEBIED,2018-06-07 15:00:00,2018-06-07 16:00:00,4.72882133
Poaceae,DEBIED,2018-06-07 15:00:00,2018-06-07 16:00:00,33.10174931
Pinus,DEBIED,2018-06-07 18:00:00,2018-06-07 19:00:00,4.72882133
Poaceae,DEBIED,2018-06-07 18:00:00,2018-06-07 19:00:00,4.72882133
Pinus,DEBIED,2018-06-07 21:00:00,2018-06-07 22:00:00,0.0
Poaceae,DEBIED,2018-06-07 21:00:00,2018-06-07 22:00:00,0.0
Pinus,DEBIED,2018-06-08 00:00:00,2018-06-08 01:00:00,0.0
Pinus,DEVIEC,2018-06-08 00:00:00,2018-06-08 01:00:00,4.763865928
Poaceae,DEBIED,2018-06-08 00:00:00,2018-06-08 01:00:00,0.0
Poaceae,DEVIEC,2018-06-08 00:00:00,2018-06-08 01:00:00,4.763865928
Pinus,DEBIED,2018-06-08 03:00:00,2018-06-08 04:00:00,0.0
Pinus,DEVIEC,2018-06-08 03:00:00,2018-06-08 04:00:00,19.05546371
Poaceae,DEBIED,2018-06-08 03:00:00,2018-06-08 04:00:00,0.0
Poaceae,DEVIEC,2018-06-08 03:00:00,2018-06-08 04:00:00,19.05546371
Pinus,DEBIED,2018-06-08 06:00:00,2018-06-08 07:00:00,0.0
Pinus,DEVIEC,2018-06-08 06:00:00,2018-06-08 07:00:00,0.0
Poaceae,DEBIED,2018-06-08 06:00:00,2018-06-08 07:00:00,4.736548162
Poaceae,DEVIEC,2018-06-08 06:00:00,2018-06-08 07:00:00,0.0
Pinus,DEBIED,2018-06-08 09:00:00,2018-06-08 10:00:00,0.0
Pinus,DEVIEC,2018-06-08 09:00:00,2018-06-08 10:00:00,4.763865928
Poaceae,DEBIED,2018-06-08 09:00:00,2018-06-08 10:00:00,33.12877115
Poaceae,DEVIEC,2018-06-08 09:00:00,2018-06-08 10:00:00,19.05546371
Pinus,DEBIED,2018-06-08 12:00:00,2018-06-08 13:00:00,4.732681592
Pinus,DEVIEC,2018-06-08 12:00:00,2018-06-08 13:00:00,0.0
Poaceae,DEBIED,2018-06-08 12:00:00,2018-06-08 13:00:00,151.445811
Poaceae,DEVIEC,2018-06-08 12:00:00,2018-06-08 13:00:00,57.21961869
Pinus,DEBIED,2018-06-08 15:00:00,2018-06-08 16:00:00,4.732681592
Pinus,DEVIEC,2018-06-08 15:00:00,2018-06-08 16:00:00,4.768301558
Poaceae,DEBIED,2018-06-08 15:00:00,2018-06-08 16:00:00,123.0497214
Poaceae,DEVIEC,2018-06-08 15:00:00,2018-06-08 16:00:00,14.30490467
Pinus,DEBIED,2018-06-08 18:00:00,2018-06-08 19:00:00,0.0
Pinus,DEVIEC,2018-06-08 18:00:00,2018-06-08 19:00:00,0.0
Poaceae,DEBIED,2018-06-08 18:00:00,2018-06-08 19:00:00,28.39608955
Poaceae,DEVIEC,2018-06-08 18:00:00,2018-06-08 19:00:00,0.0
Pinus,DEBIED,2018-06-08 21:00:00,2018-06-08 22:00:00,0.0
Pinus,DEVIEC,2018-06-08 21:00:00,2018-06-08 22:00:00,4.763865928
Poaceae,DEBIED,2018-06-08 21:00:00,2018-06-08 22:00:00,18.93072637
Poaceae,DEVIEC,2018-06-08 21:00:00,2018-06-08 22:00:00,0.0
Pinus,DEBIED,2018-06-09 00:00:00,2018-06-09 01:00:00,0.0
Pinus,DEVIEC,2018-06-09 00:00:00,2018-06-09 01:00:00,4.763865928
Poaceae,DEBIED,2018-06-09 00:00:00,2018-06-09 01:00:00,4.732681592
Poaceae,DEVIEC,2018-06-09 00:00:00,2018-06-09 01:00:00,0.0
Pinus,DEBIED,2018-06-09 03:00:00,2018-06-09 04:00:00,0.0
Pinus,DEVIEC,2018-06-09 03:00:00,2018-06-09 04:00:00,0.0
Poaceae,DEBIED,2018-06-09 03:00:00,2018-06-09 04:00:00,9.465363185
Poaceae,DEVIEC,2018-06-09 03:00:00,2018-06-09 04:00:00,4.768301558
Pinus,DEBIED,2018-06-09 06:00:00,2018-06-09 07:00:00,0.0
Poaceae,DEBIED,2018-06-09 06:00:00,2018-06-09 07:00:00,37.8923853
Pinus,DEBIED,2018-06-09 09:00:00,2018-06-09 10:00:00,0.0
Pinus,DEVIEC,2018-06-09 09:00:00,2018-06-09 10:00:00,14.29159779
Poaceae,DEBIED,2018-06-09 09:00:00,2018-06-09 10:00:00,113.5843582
Poaceae,DEVIEC,2018-06-09 09:00:00,2018-06-09 10:00:00,19.05546371
Pinus,DEBIED,2018-06-09 12:00:00,2018-06-09 13:00:00,4.732681592
Pinus,DEVIEC,2018-06-09 12:00:00,2018-06-09 13:00:00,28.60980935
Poaceae,DEBIED,2018-06-09 12:00:00,2018-06-09 13:00:00,28.39608955
Poaceae,DEVIEC,2018-06-09 12:00:00,2018-06-09 13:00:00,4.768301558
Pinus,DEBIED,2018-06-09 15:00:00,2018-06-09 16:00:00,4.740421055
Pinus,DEVIEC,2018-06-09 15:00:00,2018-06-09 16:00:00,0.0
Poaceae,DEBIED,2018-06-09 15:00:00,2018-06-09 16:00:00,14.22126317
Poaceae,DEVIEC,2018-06-09 15:00:00,2018-06-09 16:00:00,0.0
Pinus,DEBIED,2018-06-09 18:00:00,2018-06-09 19:00:00,0.0
Pinus,DEVIEC,2018-06-09 18:00:00,2018-06-09 19:00:00,0.0
Poaceae,DEBIED,2018-06-09 18:00:00,2018-06-09 19:00:00,47.36548162
Poaceae,DEVIEC,2018-06-09 18:00:00,2018-06-09 19:00:00,0.0
Pinus,DEBIED,2018-06-09 21:00:00,2018-06-09 22:00:00,0.0
Pinus,DEVIEC,2018-06-09 21:00:00,2018-06-09 22:00:00,4.768301558
Poaceae,DEBIED,2018-06-09 21:00:00,2018-06-09 22:00:00,4.736548162
Poaceae,DEVIEC,2018-06-09 21:00:00,2018-06-09 22:00:00,0.0
Pinus,DEBIED,2018-06-10 00:00:00,2018-06-10 01:00:00,0.0
Pinus,DEVIEC,2018-06-10 00:00:00,2018-06-10 01:00:00,0.0
Poaceae,DEBIED,2018-06-10 00:00:00,2018-06-10 01:00:00,0.0
Poaceae,DEVIEC,2018-06-10 00:00:00,2018-06-10 01:00:00,0.0
Pinus,DEBIED,2018-06-10 03:00:00,2018-06-10 04:00:00,0.0
Pinus,DEVIEC,2018-06-10 03:00:00,2018-06-10 04:00:00,9.527731857
Poaceae,DEBIED,2018-06-10 03:00:00,2018-06-10 04:00:00,4.736548162
Poaceae,DEVIEC,2018-06-10 03:00:00,2018-06-10 04:00:00,0.0
Pinus,DEBIED,2018-06-10 06:00:00,2018-06-10 07:00:00,0.0
Pinus,DEVIEC,2018-06-10 06:00:00,2018-06-10 07:00:00,4.763865928
Poaceae,DEBIED,2018-06-10 06:00:00,2018-06-10 07:00:00,18.93072637
Poaceae,DEVIEC,2018-06-10 06:00:00,2018-06-10 07:00:00,9.527731857
Pinus,DEBIED,2018-06-10 09:00:00,2018-06-10 10:00:00,0.0
Pinus,DEVIEC,2018-06-10 09:00:00,2018-06-10 10:00:00,0.0
Poaceae,DEBIED,2018-06-10 09:00:00,2018-06-10 10:00:00,80.52131876
Poaceae,DEVIEC,2018-06-10 09:00:00,2018-06-10 10:00:00,9.536603115
Pinus,DEBIED,2018-06-10 12:00:00,2018-06-10 13:00:00,9.45764266
Pinus,DEVIEC,2018-06-10 12:00:00,2018-06-10 13:00:00,9.518877087
Poaceae,DEBIED,2018-06-10 12:00:00,2018-06-10 13:00:00,61.47467729
Poaceae,DEVIEC,2018-06-10 12:00:00,2018-06-10 13:00:00,38.07550835
Pinus,DEBIED,2018-06-10 15:00:00,2018-06-10 16:00:00,0.0
Pinus,DEVIEC,2018-06-10 15:00:00,2018-06-10 16:00:00,0.0
Poaceae,DEBIED,2018-06-10 15:00:00,2018-06-10 16:00:00,28.37292798
Poaceae,DEVIEC,2018-06-10 15:00:00,2018-06-10 16:00:00,38.11092743
Pinus,DEBIED,2018-06-10 18:00:00,2018-06-10 19:00:00,0.0
Pinus,DEVIEC,2018-06-10 18:00:00,2018-06-10 19:00:00,0.0
Poaceae,DEBIED,2018-06-10 18:00:00,2018-06-10 19:00:00,18.96168422
Poaceae,DEVIEC,2018-06-10 18:00:00,2018-06-10 19:00:00,23.84150779
Pinus,DEBIED,2018-06-10 21:00:00,2018-06-10 22:00:00,0.0
Pinus,DEVIEC,2018-06-10 21:00:00,2018-06-10 22:00:00,0.0
Poaceae,DEBIED,2018-06-10 21:00:00,2018-06-10 22:00:00,0.0
Poaceae,DEVIEC,2018-06-10 21:00:00,2018-06-10 22:00:00,4.763865928
Pinus,DEBIED,2018-06-11 00:00:00,2018-06-11 01:00:00,0.0
Pinus,DEVIEC,2018-06-11 00:00:00,2018-06-11 01:00:00,4.768301558
Poaceae,DEBIED,2018-06-11 00:00:00,2018-06-11 01:00:00,4.72882133
Poaceae,DEVIEC,2018-06-11 00:00:00,2018-06-11 01:00:00,4.768301558
Pinus,DEVIEC,2018-06-11 03:00:00,2018-06-11 04:00:00,0.0
Poaceae,DEVIEC,2018-06-11 03:00:00,2018-06-11 04:00:00,0.0
Pinus,DEVIEC,2018-06-11 06:00:00,2018-06-11 07:00:00,0.0
Poaceae,DEVIEC,2018-06-11 06:00:00,2018-06-11 07:00:00,14.29159779
Pinus,DEBIED,2018-06-11 09:00:00,2018-06-11 10:00:00,9.79009112
