pollen,location,from,to,value
Poaceae,DEBIED,2018-05-05 15:00:00,2018-05-05 16:00:00,14.48290688
Pinus,DEBIED,2018-05-05 18:00:00,2018-05-05 19:00:00,0.0
Poaceae,DEBIED,2018-05-05 18:00:00,2018-05-05 19:00:00,28.68994887
Pinus,DEBIED,2018-05-05 21:00:00,2018-05-05 22:00:00,0.0
Poaceae,DEBIED,2018-05-05 21:00:00,2018-05-05 22:00:00,0.0
Pinus,DEBIED,2018-05-06 00:00:00,2018-05-06 01:00:00,0.0
Poaceae,DEBIED,2018-05-06 00:00:00,2018-05-06 01:00:00,0.0
Pinus,DEBIED,2018-05-06 03:00:00,2018-05-06 04:00:00,0.0
Poaceae,DEBIED,2018-05-06 03:00:00,2018-05-06 04:00:00,19.09543089
Pinus,DEBIED,2018-05-06 06:00:00,2018-05-06 07:00:00,0.0
Poaceae,DEBIED,2018-05-06 06:00:00,2018-05-06 07:00:00,14.4710841
Pinus,DEBIED,2018-05-06 09:00:00,2018-05-06 10:00:00,0.0
Poaceae,DEBIED,2018-05-06 09:00:00,2018-05-06 10:00:00,56.26141108
Pinus,DEBIED,2018-05-06 12:00:00,2018-05-06 13:00:00,0.0
Poaceae,DEBIED,2018-05-06 12:00:00,2018-05-06 13:00:00,38.222038
Pinus,DEBIED,2018-05-06 15:00:00,2018-05-06 16:00:00,0.0
Poaceae,DEBIED,2018-05-06 15:00:00,2018-05-06 16:00:00,23.88877375
Pinus,DEBIED,2018-05-06 18:00:00,2018-05-06 19:00:00,0.0
Poaceae,DEBIED,2018-05-06 18:00:00,2018-05-06 19:00:00,14.19804478
Pinus,DEBIED,2018-05-07 09:00:00,2018-05-07 10:00:00,0.0
Poaceae,DEBIED,2018-05-07 09:00:00,2018-05-07 10:00:00,65.53448437
Pinus,DEBIED,2018-05-07 12:00:00,2018-05-07 13:00:00,0.0
Poaceae,DEBIED,2018-05-07 12:00:00,2018-05-07 13:00:00,33.41700407
Pinus,DEBIED,2018-05-07 15:00:00,2018-05-07 16:00:00,0.0
Poaceae,DEBIED,2018-05-07 15:00:00,2018-05-07 16:00:00,33.82108099
Pinus,DEBIED,2018-05-07 18:00:00,2018-05-07 19:00:00,0.0
Poaceae,DEBIED,2018-05-07 18:00:00,2018-05-07 19:00:00,33.12877115
Pinus,DEBIED,2018-05-07 21:00:00,2018-05-07 22:00:00,0.0
Poaceae,DEBIED,2018-05-07 21:00:00,2018-05-07 22:00:00,18.93072637
Pinus,DEBIED,2018-05-08 00:00:00,2018-05-08 01:00:00,0.0
Pinus,DEVIEC,2018-05-08 00:00:00,2018-05-08 01:00:00,0.0
Poaceae,DEBIED,2018-05-08 00:00:00,2018-05-08 01:00:00,18.93072637
Poaceae,DEVIEC,2018-05-08 00:00:00,2018-05-08 01:00:00,4.083856358
Pinus,DEBIED,2018-05-08 03:00:00,2018-05-08 04:00:00,0.0
Poaceae,DEBIED,2018-05-08 03:00:00,2018-05-08 04:00:00,28.37292798
Pinus,DEBIED,2018-05-08 06:00:00,2018-05-08 07:00:00,0.0
Poaceae,DEBIED,2018-05-08 06:00:00,2018-05-08 07:00:00,28.64314634
Pinus,DEBIED,2018-05-08 09:00:00,2018-05-08 10:00:00,0.0
Poaceae,DEBIED,2018-05-08 09:00:00,2018-05-08 10:00:00,56.74585596
Pinus,DEBIED,2018-05-08 12:00:00,2018-05-08 13:00:00,0.0
Poaceae,DEBIED,2018-05-08 12:00:00,2018-05-08 13:00:00,28.39608955
Pinus,DEBIED,2018-05-08 15:00:00,2018-05-08 16:00:00,0.0
Poaceae,DEBIED,2018-05-08 15:00:00,2018-05-08 16:00:00,28.68994887
Pinus,DEBIED,2018-05-08 18:00:00,2018-05-08 19:00:00,0.0
Pinus,DEVIEC,2018-05-08 18:00:00,2018-05-08 19:00:00,456.9061002
Poaceae,DEBIED,2018-05-08 18:00:00,2018-05-08 19:00:00,4.773857724
Poaceae,DEVIEC,2018-05-08 18:00:00,2018-05-08 19:00:00,0.0
Pinus,DEBIED,2018-05-08 21:00:00,2018-05-08 22:00:00,0.0
Pinus,DEVIEC,2018-05-08 21:00:00,2018-05-08 22:00:00,643.1219003
Poaceae,DEBIED,2018-05-08 21:00:00,2018-05-08 22:00:00,19.111019
Poaceae,DEVIEC,2018-05-08 21:00:00,2018-05-08 22:00:00,4.763865928
Pinus,DEBIED,2018-05-09 00:00:00,2018-05-09 01:00:00,0.0
Pinus,DEVIEC,2018-05-09 00:00:00,2018-05-09 01:00:00,424.3788386
Poaceae,DEBIED,2018-05-09 00:00:00,2018-05-09 01:00:00,23.68274081
Poaceae,DEVIEC,2018-05-09 00:00:00,2018-05-09 01:00:00,4.768301558
Pinus,DEBIED,2018-05-09 03:00:00,2018-05-09 04:00:00,0.0
Pinus,DEVIEC,2018-05-09 03:00:00,2018-05-09 04:00:00,276.5614903
Poaceae,DEBIED,2018-05-09 03:00:00,2018-05-09 04:00:00,18.93072637
Poaceae,DEVIEC,2018-05-09 03:00:00,2018-05-09 04:00:00,9.536603115
Pinus,DEBIED,2018-05-09 06:00:00,2018-05-09 07:00:00,0.0
Pinus,DEVIEC,2018-05-09 06:00:00,2018-05-09 07:00:00,106.680645
Poaceae,DEBIED,2018-05-09 06:00:00,2018-05-09 07:00:00,4.77775475
Poaceae,DEVIEC,2018-05-09 06:00:00,2018-05-09 07:00:00,4.849120228
Pinus,DEVIEC,2018-05-09 09:00:00,2018-05-09 10:00:00,190.5546371
Poaceae,DEVIEC,2018-05-09 09:00:00,2018-05-09 10:00:00,33.3470615
Pinus,DEBIED,2018-05-09 12:00:00,2018-05-09 13:00:00,0.0
Pinus,DEVIEC,2018-05-09 12:00:00,2018-05-09 13:00:00,185.9637608
Poaceae,DEBIED,2018-05-09 12:00:00,2018-05-09 13:00:00,33.73832141
Poaceae,DEVIEC,2018-05-09 12:00:00,2018-05-09 13:00:00,9.536603115
Pinus,DEBIED,2018-05-09 15:00:00,2018-05-09 16:00:00,0.0
Pinus,DEVIEC,2018-05-09 15:00:00,2018-05-09 16:00:00,228.6655646
Poaceae,DEBIED,2018-05-09 15:00:00,2018-05-09 16:00:00,19.09543089
Poaceae,DEVIEC,2018-05-09 15:00:00,2018-05-09 16:00:00,4.763865928
Pinus,DEBIED,2018-05-09 18:00:00,2018-05-09 19:00:00,0.0
Pinus,DEVIEC,2018-05-09 18:00:00,2018-05-09 19:00:00,524.0252521
Poaceae,DEBIED,2018-05-09 18:00:00,2018-05-09 19:00:00,9.547715447
Poaceae,DEVIEC,2018-05-09 18:00:00,2018-05-09 19:00:00,0.0
Pinus,DEBIED,2018-05-09 21:00:00,2018-05-09 22:00:00,0.0
Pinus,DEVIEC,2018-05-09 21:00:00,2018-05-09 22:00:00,267.0248872
Poaceae,DEBIED,2018-05-09 21:00:00,2018-05-09 22:00:00,0.0
Poaceae,DEVIEC,2018-05-09 21:00:00,2018-05-09 22:00:00,0.0
Pinus,DEBIED,2018-05-10 00:00:00,2018-05-10 01:00:00,0.0
Pinus,DEVIEC,2018-05-10 00:00:00,2018-05-10 01:00:00,28.58319557
Poaceae,DEBIED,2018-05-10 00:00:00,2018-05-10 01:00:00,4.77775475
Poaceae,DEVIEC,2018-05-10 00:00:00,2018-05-10 01:00:00,0.0
Pinus,DEBIED,2018-05-10 03:00:00,2018-05-10 04:00:00,0.0
Pinus,DEVIEC,2018-05-10 03:00:00,2018-05-10 04:00:00,99.94820942
Poaceae,DEBIED,2018-05-10 03:00:00,2018-05-10 04:00:00,9.563316289
Poaceae,DEVIEC,2018-05-10 03:00:00,2018-05-10 04:00:00,0.0
Pinus,DEBIED,2018-05-10 06:00:00,2018-05-10 07:00:00,0.0
Pinus,DEVIEC,2018-05-10 06:00:00,2018-05-10 07:00:00,138.0237178
Poaceae,DEBIED,2018-05-10 06:00:00,2018-05-10 07:00:00,9.563316289
Poaceae,DEVIEC,2018-05-10 06:00:00,2018-05-10 07:00:00,0.0
Pinus,DEBIED,2018-05-10 09:00:00,2018-05-10 10:00:00,0.0
Pinus,DEVIEC,2018-05-10 09:00:00,2018-05-10 10:00:00,200.082369
Poaceae,DEBIED,2018-05-10 09:00:00,2018-05-10 10:00:00,0.0
Poaceae,DEVIEC,2018-05-10 09:00:00,2018-05-10 10:00:00,47.63865928
Pinus,DEBIED,2018-05-10 12:00:00,2018-05-10 13:00:00,0.0
Pinus,DEVIEC,2018-05-10 12:00:00,2018-05-10 13:00:00,200.4553091
Poaceae,DEBIED,2018-05-10 12:00:00,2018-05-10 13:00:00,42.59413433
Poaceae,DEVIEC,2018-05-10 12:00:00,2018-05-10 13:00:00,9.54549091
Pinus,DEBIED,2018-05-10 15:00:00,2018-05-10 16:00:00,0.0
Pinus,DEVIEC,2018-05-10 15:00:00,2018-05-10 16:00:00,333.781109
Poaceae,DEBIED,2018-05-10 15:00:00,2018-05-10 16:00:00,18.93072637
Poaceae,DEVIEC,2018-05-10 15:00:00,2018-05-10 16:00:00,4.768301558
Pinus,DEBIED,2018-05-10 18:00:00,2018-05-10 19:00:00,0.0
Pinus,DEVIEC,2018-05-10 18:00:00,2018-05-10 19:00:00,658.025615
